Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[HIPAA (Security)](https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/),Yes,Yes,K,"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.","Front Line Manager, Manager",English (USA),15 minutes
[HiPo Assessment Report 1.0](https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/),Yes,No,C P,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development.",Not found,Not found,Not found
[HiPo Assessment Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/),Yes,No,C P,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success.",Not found,Not found,Not found
[HiPo Unlocking Potential Report 2.0](https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/),Yes,No,C,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.",Not found,Not found,Not found
[Housekeeping (New)](https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/),Yes,No,K,"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.","Entry-Level, Front Line Manager, Supervisor",English (USA),7 minutes
[HTML/CSS (New)](https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/),Yes,No,K,Not found,Not found,Not found,Not found
[HTML5 (New)](https://www.shl.com/solutions/products/product-catalog/view/html5-new/),Yes,No,K,Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Human Resources (New)](https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/),Yes,No,K,"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8 minutes
[IBM DataStage (New)](https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/),Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.","Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
[IBM Sterling Order Management System (New)](https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/),Yes,No,K,"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.","Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[Industrial Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Informatica (Architecture) (New)](https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/),Yes,No,K,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Informatica (Developer) (New)](https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/),Yes,No,K,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Instrumentation Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Interpersonal Communications](https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/),Yes,Yes,K,"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communication, and Language.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
[Interviewing and Hiring Concepts (U.S.)](https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/),Yes,Yes,K,"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.","Front Line Manager, Manager",English (USA),15 minutes
[iOS Development (New)](https://www.shl.com/solutions/products/product-catalog/view/ios-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[ITIL (IT Infrastructure Library) (New)](https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/),Yes,No,K,"Multi-choice test that measures the knowledge of capacity management, change management and problem management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),8 minutes
[Java 2 Platform Enterprise Edition 1.4 Fundamental](https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/),Yes,Yes,K,"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development.","Entry-Level, Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
[Java 8 (New)](https://www.shl.com/solutions/products/product-catalog/view/java-8-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.","Mid-Professional, Professional Individual Contributor",English (USA),18 minutes
[Java Design Patterns (New)](https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new/),Yes,No,K,Not found,Not found,Not found,Not found
[Java Frameworks (New)](https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new/),Yes,No,K,"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.","Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[Java Platform Enterprise Edition 7 (Java EE 7)](https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/),Yes,Yes,K,Not found,Not found,Not found,Not found
[Java Web Services (New)](https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new/),Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[JavaScript (New)](https://www.shl.com/solutions/products/product-catalog/view/javascript-new/),Yes,No,K,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Jenkins (New)](https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.","Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Job Control Language (New)](https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/),Yes,No,K,"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[jQuery (New)](https://www.shl.com/solutions/products/product-catalog/view/jquery-new/),Yes,No,K,"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Kubernetes (New)](https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/),Yes,No,K,"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.","Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Linux Administration (New)](https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/),Yes,No,K,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,"Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Linux Operating System](https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/),Yes,No,K,"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.","Entry-Level, General Population, Graduate, Professional Individual Contributor",English (USA),15 minutes
[Linux Programming (General)](https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/),Yes,Yes,K,"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming.","Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
[Load Runner (New)](https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/),Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis.","Mid-Professional, Professional Individual Contributor",English (USA),6 minutes
[Management Scenarios](https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/),Yes,No,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Italian, English International, Korean, Arabic",Not found
[Managerial Scenarios Candidate Report](https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/),Yes,No,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",Not found,Not found
[Managerial Scenarios Narrative Report](https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/),Yes,No,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",Not found,Not found
[Managerial Scenarios Profile Report](https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/),Yes,No,B,"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available:

Management Scenarios Narrative Report:  A participant focused report that contains;  
 - Management Scenarios profile
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Candidate Report:  A report to share with the candidate that contains: 
 - Detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Table of scores for each of the 6 style scales;  Big picture, Delegative, One-to-one, Team, Personal recognition and Company Protocol.
 - Detailed narrative feedback report (with development tips) for each of the 6 style scales.

Management Scenarios Profile:  Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.","Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",Not found,Not found
[Manual Testing (New)](https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/),Yes,No,K,"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Manufac. & Indust. - Mechanical & Vigilance 8.0](https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/),Yes,No,A P,"The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie successful and safe performance in an 
industrial/manufacturing setting. This solution assesses process monitoring, mechanical 
comprehension and other foundational behaviors including behaving safely in the workplace; 
applying domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, Maintenance/Repair Workers, Surveillance, and Quality Assurance 
Workers.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),49 minutes
[Manufac. & Indust. - Safety & Dependability 8.0](https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/),Yes,No,P,"The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie safe performance in a work setting. This solution 
assesses foundational behaviors including behaving safely in the workplace; complying with 
rules and regulations; applying domain-related expertise; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Laborers/Warehouse Workers, Assemblers & Fitters, Maintenance/Repair Workers, 
Dispatchers, Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship 
Loaders","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor","English (USA), German, Latin American Spanish, French, English International, Chinese Simplified, Italian, Japanese",16 minutes
[Manufacturing & Industrial - Essential Focus 8.0](https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/),Yes,No,P,"The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors 
that underlie successful and safe performance in an industrial/manufacturing setting. This 
solution assesses foundational behaviors including behaving safely in the workplace; applying 
domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machining and Equipment Operators, 
Laborer/Warehouse, Assemblers and Fitters, Maintenance/Repair Workers, Dispatchers, 
Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship Loaders.","Mid-Professional, Professional Individual Contributor, Entry-Level, Graduate, Manager","English International, French, English (USA), Chinese Simplified, Italian, Japanese, Latin American Spanish, German",16 minutes
[Manufacturing & Industrial - Mechanical Focus 8.0](https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/),Yes,No,A P,"The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses mechanical comprehension and other foundational behaviors 
including behaving safely in the workplace; applying domain-related expertise; offering 
practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers and Fitters, and Maintenance/Repair Workers.","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor","English (USA), English International, Italian, Japanese, Latin American Spanish, Chinese Simplified",31 minutes
[Manufacturing & Industrial - Vigilance Focus 8.0](https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/),Yes,No,A P,"The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses process monitoring and other foundational behaviors including 
behaving safely in the workplace; applying domain-related expertise; offering practical 
solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Assemblers & Fitters, Maintenance/ Repair Workers, Dispatchers, Surveillance, Quality 
Assurance Workers","Entry-Level, Mid-Professional, Professional Individual Contributor, Graduate, Manager",English (USA),34 minutes
[Marketing (New)](https://www.shl.com/solutions/products/product-catalog/view/marketing-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),9 minutes
[Maven (New)](https://www.shl.com/solutions/products/product-catalog/view/maven-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Mechanical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/),Yes,No,K,"Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Mechatronics Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),19 minutes
[Medical Terminology (New)](https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/),Yes,No,K,"Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),3 minutes
[Metallurgical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of process metallurgy, industrial metallurgy and physical metallurgy.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),10 minutes
[MFS 360 Enterprise Leadership Report](https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/),Yes,No,D,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that.",Not found,Not found,Not found
[MFS 360 UCF Group Report](https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/),Yes,No,D,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report.",Not found,Not found,Not found
[MFS 360 UCF Performance Potential Dev Tips Report](https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/),Yes,No,D,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential.  The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra.",Not found,Not found,Not found
[MFS 360 UCF Standard Report](https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/),Yes,No,D,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open questions and multiple choice questions are optional parts of the questionnaire. Only if those parts were added to the questionnaire will they show in the report. Open and multiple Choice questions are of the clients’ own design. The example report here does not include developments tips, but those can be added if requested (see performance and potential report for examples of that).",Not found,Not found,Not found
[Micro Focus Unified Functional Testing (New)](https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/),Yes,No,K,Multi-choice test that measures the knowledge of automation testing using the QTP tool.,"Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Microservices (New)](https://www.shl.com/solutions/products/product-catalog/view/microservices-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
