Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[Pharmaceutical Analysis (New)](https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/),Yes,No,K,"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Pharmaceutical Chemistry (New)](https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/),Yes,No,K,"Multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[Pharmaceutical Science (New)](https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new/),Yes,No,K,"Multi-choice test that measures the knowledge of drug manufacture, drug delivery, drug action, and pharmaceutical analysis techniques.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Pharmaceutics (New)](https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/),Yes,No,K,"Multi-choice test that measures the knowledge of pharmaceutical engineering and technology for drug manufacture, biopharmaceutics, modern pharmaceutics and dispensing pharmacy.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Pharmacology (New)](https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new/),Yes,No,K,"Multi-choice test that measures the knowledge of pharmacological drugs classification, chemotherapy, inflammatory disorders, drug action on nervous system, endocrine pharmacology, drug action on circulatory system and GI tract.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[PHP (New)](https://www.shl.com/solutions/products/product-catalog/view/php-new/),Yes,No,K,"Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[PJM Development Report](https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report/),Yes,No,C A P,"The Person-Job Match Report is unique in that it
matches the performance potential of the
individual to the job’s specific competencies. This
provides you with a comprehensive and insightful
understanding of person-job fit.  The PJM Development report is written to support competency focused development of an individual.

In a development context, this report can be used: To identify specific areas of strength and weakness that may impact on the individual?s 
performance.As the basis for identifying areas for development and development planning. For discussing fit to future roles and career planning.","Mid-Professional, Graduate, Manager","Italian, English International, English (USA), French (Canada), Portuguese (Brazil), Latin American Spanish",Not found
[PJM Selection Report](https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report/),Yes,No,A C P,"The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role.  Provides targeted assessment results that match individuals with jobs . Links the essential/desirable competencies for a specific job with an individual’s competency potential. Provides an overall Match (or fit) Score useful in ranking/sorting candidates for selection 
and/or development (e.g. Talent Audit).  It provides a highly visual profile of a candidate's strengths and limitations against identified required competencies. Includes a summary table that enables prioritisation of action planning for development of critical competencies for an individual (by tabling Competency Potential against Job Importance for the role). It includes highly descriptive statements about a candidate's strengths and development  needs/limitations. 
The extended report versions include proposed competency-based interview questions 
to enable probing of specific situations in which the candidate might have 
demonstrated critical job behaviours. 
  
The PJM Report is designed for use by line managers and HR professionals in selection and 
development situations. It is valuable for identifying an individual's overall fit as well as likely areas of 
strength and weakness relative to their behaviour at work. 
 
In a selection context, this information can be used: For making interviewers aware of the areas that may need further probing. As a basis for suggesting and creating relevant interview questions. For identifying the relative strengths and weaknesses of shortlisted candidates.","Mid-Professional, Manager","Italian, English International, English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada)",Not found
[Polymer Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of characterization of polymers, processing, synthesis, testing and applications in daily life.","Professional Individual Contributor, Graduate, Mid-Professional",English (USA),8 minutes
[Power Electronics and Drives (New)](https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new/),Yes,No,K,"Multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.","Mid-Professional, Professional Individual Contributor, Graduate",English (USA),15 minutes
[Power System Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of power generation and transmission, electrical machines, power systems and drives, control and instrumentation, fluid mechanics and machines.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Prism (New)](https://www.shl.com/solutions/products/product-catalog/view/prism-new/),Yes,No,K,"Multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the Prism library.","Mid-Professional, Professional Individual Contributor",English (USA),4 minutes
[Production and Industrial Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[Production Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Programming Concepts](https://www.shl.com/solutions/products/product-catalog/view/programming-concepts/),Yes,Yes,K,"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the following topics:  Algorithms, Complex Data Types, Data Access, Productivity and Quality, Program Flow, Program Structure, Programming Paradigms, User Interface, Variables, Data Types, and Operators.","Mid-Professional, Professional Individual Contributor",English (USA),25 minutes
[Project Management (2013)](https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/),Yes,Yes,K,"The Project Management (2013) test measures knowledge of how to manage projects to ensure that objectives are completed on time and within budget. The test is based on Project Management Institute's (PMI's), Project Management Body of Knowledge (PMBOK) Fifth Edition methodology. Designed for all professionals, this test covers the following topics: Project Communications Management, Project Cost Management, Project Human Resource Management, Project Management Characteristics, Project Management Methodologies, Project Procurement Management, Project Quality Management, Project Risk Management, Project Scope Management, Project Stakeholder Management, and Project Time Management.","Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
[Proofreading v1](https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1/),Yes,No,K,Not found,Not found,Not found,Not found
[Python (New)](https://www.shl.com/solutions/products/product-catalog/view/python-new/),Yes,No,K,Not found,Not found,Not found,Not found
[R Programming (New)](https://www.shl.com/solutions/products/product-catalog/view/r-programming-new/),Yes,No,K,Multi-choice test that measures the knowledge of R programming and its application in statistics.,"Mid-Professional, Professional Individual Contributor",English (USA),13 minutes
[ReactJS (New)](https://www.shl.com/solutions/products/product-catalog/view/reactjs-new/),Yes,No,K,"Multi-choice test that measures the technical knowledge of React APIs, render function, JSX, form validation and styling.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Reading Comprehension - English v1](https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1/),Yes,Yes,A,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
[Reading Comprehension - Spanish v1](https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/),Yes,Yes,A,"The Reading Comprehension - Spanish assessment provides a general measure of Spanish reading comprehension. This test is comprised of items that contain a passage that must read in order to answer the question being asked. The questions focus on the ability to demonstrate an understanding of the passage. Questions may be specific in nature, with answers that can be found almost word for word in the passage. For example, the question may ask for a date, name or place that can be found by closely reading through the passage. Alternatively, the questions may be general in nature, with answers that can be determined only by fully understanding the meaning of the passage. ""What is the theme of the passage?"" or ""What is the mood of the author?"" are examples of general questions that may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",Latin American Spanish,26 minutes
[Reading Comprehension v2](https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-v2/),Yes,Yes,A,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),35 minutes
[RemoteWorkQ](https://www.shl.com/solutions/products/product-catalog/view/remoteworkq/),Yes,No,C,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Front Line Manager, General Population, Graduate, Director, Entry-Level, Executive","English (USA), Arabic, Italian, Chinese Simplified, Portuguese, Turkish, Portuguese (Brazil), Indonesian, English International, Spanish, Latin American Spanish, French (Canada), German, Dutch, French",10 minutes
[RemoteWorkQ Manager Report](https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-manager-report/),Yes,No,C,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","Director, Executive, Front Line Manager, Graduate, General Population, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level",Not found,Not found
[RemoteWorkQ Participant Report](https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report/),Yes,No,C,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks","General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager",Not found,Not found
[RESTful Web Services (New)](https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new/),Yes,No,K,"Multi-choice test that measures the knowledge of REST features, architecture, handling requests, producing responses, entity translation, working with return types, security, filters, and interceptors.","Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Retail Sales and Service Simulation](https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation/),Yes,No,B K S A,"The Retail Sales and Service Simulation measures the ability of a candidate to choose effective sales and service techniques while interacting with customers. Situations are presented to the candidate via computer-based animation, and the candidate is offered a set of behaviors from which to choose the most and least effective responses. The behaviors vary in the extent to which the sales associate may: direct a conversation toward a commitment or sale, listen carefully to customers and provide options that address what they really need/want, put aside work to assist a customer, and focus on meeting customer needs. Responses are tracked and compared against expert ratings of effectiveness. The test produces an overall score, as well as scores on two subscales, Customer Service Effectiveness and Sales Effectiveness.",Entry-Level,English (USA),30 minutes
[Reviewing Forms - US (R1)](https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1/),Yes,No,K,"This assessment measures ability to detect errors in forms by comparing text in a form to text in a paragraph format. Based on information in the paragraph, the test taker must select the answer that indicates the incorrect information.","Entry-Level, Mid-Professional",English (USA),5 minutes
[Ruby (New)](https://www.shl.com/solutions/products/product-catalog/view/ruby-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Ruby strings, collection classes, regular expressions, methods, object oriented programming, exception handling, database connectivity, threads, scripting, network programming and web applications.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Ruby on Rails (New)](https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Ruby Programming, Rails installation, Rails MVC and Rails programming model.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Sales & Service Phone Simulation](https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation/),Yes,No,S B,"As part of Contact Center Simulations, the Sales & Service Phone Simulation is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Sample tasks for these jobs include: interacting with customers on the phone to sell a product/service; adding new or upgraded products or services; extending promotional or retention offers; responding appropriately to customer objections; navigating to information menus to assist the customer and process information; and typing information quickly and accurately. Potential job titles that use this simulation include: telesales representative, outbound sales representative, telemarketer, and contact center representative.",Entry-Level,"English (USA), English (Australia), English International, Chinese Simplified, French, Spanish, Portuguese (Brazil), Italian, Dutch, Latin American Spanish, French (Canada), German",20 minutes
[Sales & Service Phone Solution](https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution/),Yes,No,B P S,"As part of Contact Center Simulations, the Sales & Service Phone Solution includes a contact center simulation and three behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. This solution is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Sample tasks for these jobs include: interact with customers on the phone to sell a product/service; add new or upgraded products or services; extend promotional or retention offers; respond appropriately to customer objections; navigate to information menus to assist the customer and process information; and type information quickly and accurately. Potential job titles that use this simulation are: Telesales Representative, Telemarketer, and Contact Center Representative. The behavioral tests in this solution are intended to measure the candidate’s sales focus, learning potential, and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles involving sales or sales and service.",Entry-Level,"English (USA), Latin American Spanish, English (Australia), English International, Chinese Simplified, Spanish, German, Dutch, Italian, French, Portuguese (Brazil), French (Canada)",35 minutes
[Sales Interview Guide](https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide/),Yes,No,P P,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Interview guide was developed to enable you to use the Sales Report more effectively, by helping you prepare and execute you interviews more effectively.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English International,Not found
[Sales Profiler Cards](https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards/),Yes,No,P,"The SHL Sales Model is mapped to the SHL Universal Competency Model (UCF). The Sales Model Profiler cards have been developed to enable you to use the Sales Report more effectively, by helping you to understand which competencies and motivators described in the report are most important to a specific sales role.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","English International, Finnish",Not found
[Sales Transformation 1.0 - Individual Contributor](https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/),Yes,No,P,This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment. Insights included in this report include individual scores and score narratives for the behaviours included in SHL’s Sales Transformation behavioural model.,"Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",Not found,Not found
[Sales Transformation 2.0 - Individual Contributor](https://www.shl.com/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor/),Yes,No,P,This report draws insights from the OPQ. It provides an accurate and objective measure of a salesperson’s ability to sell well in a digital first environment. Insights included in this report include individual scores and score narratives for the behaviours included in SHL’s Sales Transformation behavioural model.,"Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",Not found,Not found
[Sales Transformation Report 1.0 - Sales Manager](https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-sales-manager/),Yes,No,P,Not found,Not found,Not found,Not found
[Sales Transformation Report 2.0 - Sales Manager](https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/),Yes,No,P,Not found,Not found,Not found,Not found
[Salesforce Development (New)](https://www.shl.com/solutions/products/product-catalog/view/salesforce-development-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP ABAP (Advanced Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-abap-advanced-level-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP ABAP (Intermediate Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-abap-intermediate-level-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP Basis (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-basis-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP Business Objects WebI (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-business-objects-webi-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP BW (Business Warehouse) (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-bw-business-warehouse-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP HCM (Human Capital Management) (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-hcm-human-capital-management-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP Hybris (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-hybris-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP Materials Management (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-materials-management-new/),Yes,No,K,Not found,Not found,Not found,Not found
[SAP SD (Sales and Distribution) (New)](https://www.shl.com/solutions/products/product-catalog/view/sap-sd-sales-and-distribution-new/),Yes,No,K,Not found,Not found,Not found,Not found
